mvo.vel_x,mvo.vel_y,mvo.vel_z,mvo.pos_x,mvo.pos_y,mvo.pos_z,imu.acc_x,imu.acc_y,imu.acc_z,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.q0,imu.q1,imu.q2, self.q3,imu.vg_x,imu.vg_y,imu.vg_z
0.000000,0.060000,-0.100000,0.003308,-0.017285,-0.010736,-0.006820,0.696503,-0.734114,-0.308245,0.183414,-0.044998,0.569694,-0.207424,0.280040,-0.744313,0.000000,0.000000,0.201216
0.000000,0.060000,-0.100000,0.003308,-0.017285,-0.010736,-0.125585,0.545136,-0.681978,-0.855709,0.158936,-0.363514,0.544183,-0.237289,0.289156,-0.750965,0.000000,0.000000,0.359929
0.000000,0.060000,-0.100000,0.003308,-0.017285,-0.010736,0.070321,0.585004,-0.368913,-0.455900,0.569225,0.157255,0.532786,-0.212868,0.314946,-0.756066,0.000000,0.000000,0.563681
-0.040000,0.050000,-0.070000,-0.000990,-0.016353,-0.012514,0.070321,0.585004,-0.368913,-0.455900,0.569225,0.157255,0.532786,-0.212868,0.314946,-0.756066,0.000000,0.000000,0.563681
-0.040000,0.050000,-0.070000,-0.000990,-0.016353,-0.012514,0.152276,0.591821,-0.461921,-0.504473,-0.357790,-0.173457,0.533352,-0.251765,0.348633,-0.728426,0.000000,0.000000,0.996837
-0.040000,0.050000,-0.070000,-0.000990,-0.016353,-0.012514,-0.004859,1.058753,-0.525092,-0.400638,-1.045869,0.290166,0.551705,-0.363108,0.329867,-0.674508,0.000000,0.000000,0.802707
-0.040000,0.050000,-0.070000,-0.000990,-0.016353,-0.012514,-0.123452,1.141500,-0.605845,1.439288,0.480735,-0.247384,0.595301,-0.349771,0.251971,-0.678076,0.000000,0.000000,0.463792
0.220000,-0.030000,0.170000,0.004120,-0.017930,-0.009302,-0.123452,1.141500,-0.605845,1.439288,0.480735,-0.247384,0.595301,-0.349771,0.251971,-0.678076,0.000000,0.000000,0.463792
0.420000,0.010000,0.430000,0.009248,-0.016306,-0.008578,-0.123452,1.141500,-0.605845,1.439288,0.480735,-0.247384,0.595301,-0.349771,0.251971,-0.678076,0.000000,0.000000,0.463792
0.000000,0.000000,0.000000,0.011636,-0.016332,-0.004784,-0.123452,1.141500,-0.605845,1.439288,0.480735,-0.247384,0.595301,-0.349771,0.251971,-0.678076,0.000000,0.000000,0.463792
0.000000,0.000000,0.000000,0.011636,-0.016332,-0.004784,-0.009456,-0.007313,-0.998966,-0.001982,-0.000114,-0.000663,0.699329,-0.004841,-0.005090,-0.714765,0.000000,0.000000,0.154534
0.000000,0.000000,0.000000,0.011650,-0.016327,-0.004765,-0.009456,-0.007313,-0.998966,-0.001982,-0.000114,-0.000663,0.699329,-0.004841,-0.005090,-0.714765,0.000000,0.000000,0.154534
